Designator,Mid X,Mid Y,Rotation,Layer
C1201,71.7296,-9.9314,180.0,top
C1202,78.486,-5.842,90.0,top
C201,40.9652,-15.1284,270.0,top
C202,40.9652,-12.2836,90.0,top
C203,46.7106,-3.1112,270.0,top
C204,34.5948,-5.8674,270.0,top
C205,29.337,-13.8684,180.0,top
C206,28.6004,-8.7884,180.0,top
C207,39.0144,-9.2202,180.0,top
C208,33.3502,-5.5626,270.0,top
C209,40.9683,-9.7536,0.0,top
C210,40.9963,-10.7442,0.0,top
C211,35.6108,-19.304,270.0,top
C212,56.9214,-49.9364,180.0,top
C213,32.2333,-8.7834,90.0,top
C214,29.3123,-17.2924,0.0,top
C215,29.0576,-7.211,90.0,top
C216,36.2458,-9.2202,0.0,top
C801,59.5236,-25.4948,180.0,top
C802,69.328,-24.3772,0.0,top
C803,59.93,-19.856,90.0,top
C804,64.8068,-17.1128,90.0,top
C805,62.1652,-15.7412,180.0,top
C806,62.1274,-14.1156,0.0,top
C807,56.3892,-25.6472,180.0,top
C808,56.4248,-19.348,0.0,top
C809,59.5236,-23.412,180.0,top
C810,69.328,-22.396,0.0,top
C811,67.804,-11.8296,90.0,top
C812,73.8114,-21.2276,0.0,top
C901,77.5716,-3.5052,180.0,top
C902,59.3598,-49.911,0.0,top
D101,24.3332,-25.9842,180.0,top
D102,20.7772,-73.66,0.0,top
D103,4.318,-76.3016,0.0,top
D104,4.2925,-73.66,0.0,top
D201,12.5221,-73.66,0.0,top
D202,27.686,-19.685,180.0,top
D301,65.024,-72.263,0.0,top
D401,70.104,-72.263,0.0,top
D501,75.184,-72.263,0.0,top
D601,80.264,-72.263,0.0,top
D701,85.344,-72.263,0.0,top
D801,68.9724,-4.362,180.0,top
D802,59.168,-10.5088,90.0,top
J1001,72.36,-54.59,90.0,top
J102,84.3026,-9.8298,180.0,top
J1103,91.46,-110.46,0.0,top
J801,59.6252,-3.981,180.0,top
Q201,29.6926,-28.8734,270.0,top
Q202,23.8316,-28.6004,180.0,top
R101,27.7114,-25.5524,0.0,top
R102,70.0786,-30.5054,0.0,top
R103,75.374,-31.2166,0.0,top
R104,58.42,-71.7804,90.0,top
R1201,72.144986,-7.5015,0.0,top
R201,40.4883,-13.7364,0.0,top
R202,21.526,-5.969,180.0,top
R203,28.8544,-12.0904,0.0,top
R204,28.8544,-11.0744,0.0,top
R205,20.2692,-29.9212,0.0,top
R206,23.368,-19.812,0.0,top
R208,20.447,-18.161,0.0,top
R209,20.447,-19.8882,90.0,top
R301,64.9224,-40.386,90.0,top
R302,66.0654,-40.386,270.0,top
R401,70.0024,-40.386,90.0,top
R402,71.1454,-40.386,270.0,top
R501,75.0824,-40.386,90.0,top
R502,76.2254,-40.386,270.0,top
R601,80.1624,-40.386,90.0,top
R602,81.3054,-40.386,270.0,top
R701,85.2424,-40.386,90.0,top
R702,86.3854,-40.386,270.0,top
R801,66.1276,-11.8296,270.0,top
R802,60.7936,-10.1532,270.0,top
R803,57.4916,-10.3564,270.0,top
R804,64.7052,-15.6396,0.0,top
R805,62.5208,-11.8296,0.0,top
R806,62.5696,-12.8456,180.0,top
R807,63.8924,-17.57,270.0,top
R808,65.8228,-17.1128,270.0,top
R809,59.5236,-24.4788,0.0,top
R810,61.454,-17.57,270.0,top
R811,62.9272,-17.57,270.0,top
R812,69.342,-23.3934,180.0,top
R813,69.8868,-20.9736,180.0,top
R814,67.9564,-17.1128,270.0,top
R815,66.8896,-17.1128,270.0,top
R901,47.498,-5.2324,0.0,top
SW201,24.7114,-35.3522,0.0,top
U1201,75.571986,-6.4855,180.0,top
U201,34.798,-13.838,90.0,top
U202,40.1062,-5.08,180.0,top
U203,22.8854,-12.8152,270.0,top
U301,64.8208,-45.72,180.0,top
U401,69.9008,-45.72,180.0,top
U501,74.9808,-45.72,180.0,top
U601,80.0608,-45.72,180.0,top
U701,85.1408,-45.72,180.0,top
U801,73.2536,-15.7924,270.0,top
U802,64.3496,-22.3452,90.0,top
U901,51.3588,-3.5306,180.0,top
Y201,43.3274,-14.4172,90.0,top
Y801,56.4248,-22.4976,90.0,top
