Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202",0603,2,10u,
"C203, C204, C207, C208, C209, C212, C213, C214, C215, C216",0402,10,100n,
"C205, C206",0402,2,1u,
"C210, C211",0402,2,30p,C1570
C217,0805,1,10uF / 25V,C15850
"D101, D301, D401, D501, D601, D701",0603,6,LED WHITE,C2290
D201,0603,1,LED GREEN,C2297
D202,D_SOD-123,1,B5819W SL,C8598
J201,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
"R101, R201",0402,2,470R,
"R202, R203",0402,2,27R,
"R204, R205",0402,2,5.1K,
"R206, R208, R301, R401, R501, R601, R701",0402,7,1K,
R207,0402,1,10K,
"R209, R210",0805,2,0,C17477
"R302, R402, R502, R602, R702",0402,5,3k9,
SW202,SW_TS-1187A-B-A-B,1,RESET,C318884
U201,RP2040-QFN-56,1,RP2040,C2040
U202,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U203,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
"U301, U401, U501, U601, U701",SOP-4_3.8x4.1mm_P2.54mm,5,GAQY221S,C7435105
Y201,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C9002
